"kode_produk","tgl_berlaku","kode_cabang","harga_berlaku_cabang","modal_cabang","biaya_cabang"
PROD-0000001,"2008-01-01 00:00:00",CABANG-039,10980,10380,190
PROD-0000002,"2008-01-01 00:00:00",CABANG-039,4220,4040,10
PROD-0000003,"2008-01-01 00:00:00",CABANG-039,6220,5900,90
PROD-0000004,"2008-01-01 00:00:00",CABANG-039,8020,7620,60
PROD-0000005,"2008-01-01 00:00:00",CABANG-039,7210,6860,10
PROD-0000006,"2008-01-01 00:00:00",CABANG-039,8110,7770,10
PROD-0000007,"2008-01-01 00:00:00",CABANG-039,4640,4440,20
PROD-0000008,"2008-01-01 00:00:00",CABANG-039,1060,1000,0
PROD-0000009,"2008-01-01 00:00:00",CABANG-039,4690,4500,80
PROD-0000010,"2008-01-01 00:00:00",CABANG-039,1100,1040,30
PROD-0000011,"2008-01-01 00:00:00",CABANG-039,1210,1150,30
PROD-0000012,"2008-01-01 00:00:00",CABANG-039,3440,3250,30
PROD-0000013,"2008-01-01 00:00:00",CABANG-039,12280,11620,120
PROD-0000014,"2008-01-01 00:00:00",CABANG-039,11520,11060,60
PROD-0000015,"2008-01-01 00:00:00",CABANG-039,18880,17940,10
PROD-0000016,"2008-01-01 00:00:00",CABANG-039,96580,91220,630
PROD-0000017,"2008-01-01 00:00:00",CABANG-039,1200,1150,20
PROD-0000018,"2008-01-01 00:00:00",CABANG-039,8960,8510,170
PROD-0000019,"2008-01-01 00:00:00",CABANG-039,6060,5760,100
PROD-0000020,"2008-01-01 00:00:00",CABANG-039,5240,4990,70
PROD-0000021,"2008-01-01 00:00:00",CABANG-039,12100,11500,210
PROD-0000022,"2008-01-01 00:00:00",CABANG-039,70280,67180,980
PROD-0000023,"2008-01-01 00:00:00",CABANG-039,14170,13400,340
PROD-0000024,"2008-01-01 00:00:00",CABANG-039,14940,14190,340
PROD-0000025,"2008-01-01 00:00:00",CABANG-039,10160,9690,0
PROD-0000026,"2008-01-01 00:00:00",CABANG-039,900,860,10
PROD-0000027,"2008-01-01 00:00:00",CABANG-039,12140,11500,90
PROD-0000028,"2008-01-01 00:00:00",CABANG-039,54670,52460,1340
PROD-0000029,"2008-01-01 00:00:00",CABANG-039,6060,5760,130
PROD-0000030,"2008-01-01 00:00:00",CABANG-039,4010,3810,80
PROD-0000031,"2008-01-01 00:00:00",CABANG-039,18030,16960,60
PROD-0000032,"2008-01-01 00:00:00",CABANG-039,5040,4790,60
PROD-0000033,"2008-01-01 00:00:00",CABANG-039,15690,14900,90
PROD-0000034,"2008-01-01 00:00:00",CABANG-039,19720,18670,170
PROD-0000035,"2008-01-01 00:00:00",CABANG-039,6050,5690,20
PROD-0000036,"2008-01-01 00:00:00",CABANG-039,30060,28850,570
PROD-0000037,"2008-01-01 00:00:00",CABANG-039,4990,4740,20
PROD-0000038,"2008-01-01 00:00:00",CABANG-039,5990,5680,90
PROD-0000039,"2008-01-01 00:00:00",CABANG-039,5480,5170,130
PROD-0000040,"2008-01-01 00:00:00",CABANG-039,15090,14310,220
PROD-0000041,"2008-01-01 00:00:00",CABANG-039,12870,12320,30
PROD-0000001,"2008-01-02 00:00:00",CABANG-039,11070,10550,60
PROD-0000002,"2008-01-02 00:00:00",CABANG-039,4220,3980,70
PROD-0000003,"2008-01-02 00:00:00",CABANG-039,6280,5990,90
PROD-0000004,"2008-01-02 00:00:00",CABANG-039,7910,7510,140
PROD-0000005,"2008-01-02 00:00:00",CABANG-039,7130,6740,110
PROD-0000006,"2008-01-02 00:00:00",CABANG-039,7930,7550,120
PROD-0000007,"2008-01-02 00:00:00",CABANG-039,4580,4350,110
PROD-0000008,"2008-01-02 00:00:00",CABANG-039,1060,1000,20
PROD-0000009,"2008-01-02 00:00:00",CABANG-039,4720,4480,90
PROD-0000010,"2008-01-02 00:00:00",CABANG-039,1090,1040,20
PROD-0000011,"2008-01-02 00:00:00",CABANG-039,1210,1160,0
PROD-0000012,"2008-01-02 00:00:00",CABANG-039,3550,3380,10
PROD-0000013,"2008-01-02 00:00:00",CABANG-039,12150,11620,240
PROD-0000014,"2008-01-02 00:00:00",CABANG-039,11390,10910,120
PROD-0000015,"2008-01-02 00:00:00",CABANG-039,19110,18160,30
PROD-0000016,"2008-01-02 00:00:00",CABANG-039,97740,92850,2000
PROD-0000017,"2008-01-02 00:00:00",CABANG-039,1210,1160,10
PROD-0000018,"2008-01-02 00:00:00",CABANG-039,8860,8370,190
PROD-0000019,"2008-01-02 00:00:00",CABANG-039,6030,5690,150
PROD-0000020,"2008-01-02 00:00:00",CABANG-039,5260,4970,70
PROD-0000021,"2008-01-02 00:00:00",CABANG-039,11800,11270,130
PROD-0000022,"2008-01-02 00:00:00",CABANG-039,70840,67300,890
PROD-0000023,"2008-01-02 00:00:00",CABANG-039,13940,13240,70
PROD-0000024,"2008-01-02 00:00:00",CABANG-039,15060,14310,170
PROD-0000025,"2008-01-02 00:00:00",CABANG-039,9940,9430,130
PROD-0000026,"2008-01-02 00:00:00",CABANG-039,910,860,10
PROD-0000027,"2008-01-02 00:00:00",CABANG-039,12170,11560,110
PROD-0000028,"2008-01-02 00:00:00",CABANG-039,55110,51920,630
PROD-0000029,"2008-01-02 00:00:00",CABANG-039,6000,5720,80
PROD-0000030,"2008-01-02 00:00:00",CABANG-039,4000,3780,60
PROD-0000031,"2008-01-02 00:00:00",CABANG-039,18110,17270,160
PROD-0000032,"2008-01-02 00:00:00",CABANG-039,5010,4760,10
PROD-0000033,"2008-01-02 00:00:00",CABANG-039,15380,14620,280
PROD-0000034,"2008-01-02 00:00:00",CABANG-039,20160,19300,180
PROD-0000035,"2008-01-02 00:00:00",CABANG-039,6070,5770,10
PROD-0000036,"2008-01-02 00:00:00",CABANG-039,30120,28450,540
PROD-0000037,"2008-01-02 00:00:00",CABANG-039,4950,4690,110
PROD-0000038,"2008-01-02 00:00:00",CABANG-039,6040,5700,90
PROD-0000039,"2008-01-02 00:00:00",CABANG-039,5500,5190,40
PROD-0000040,"2008-01-02 00:00:00",CABANG-039,15120,14480,130
PROD-0000041,"2008-01-02 00:00:00",CABANG-039,12800,12160,240
PROD-0000001,"2008-01-03 00:00:00",CABANG-039,11180,10620,30
PROD-0000002,"2008-01-03 00:00:00",CABANG-039,4260,4010,10
PROD-0000003,"2008-01-03 00:00:00",CABANG-039,6170,5820,10
PROD-0000004,"2008-01-03 00:00:00",CABANG-039,8020,7680,190
PROD-0000005,"2008-01-03 00:00:00",CABANG-039,7140,6760,110
PROD-0000006,"2008-01-03 00:00:00",CABANG-039,7950,7530,60
PROD-0000007,"2008-01-03 00:00:00",CABANG-039,4620,4400,20
PROD-0000008,"2008-01-03 00:00:00",CABANG-039,1070,1020,10
PROD-0000009,"2008-01-03 00:00:00",CABANG-039,4720,4480,100
PROD-0000010,"2008-01-03 00:00:00",CABANG-039,1120,1070,0
PROD-0000011,"2008-01-03 00:00:00",CABANG-039,1190,1130,0
PROD-0000012,"2008-01-03 00:00:00",CABANG-039,3500,3330,60
PROD-0000013,"2008-01-03 00:00:00",CABANG-039,12100,11490,190
PROD-0000014,"2008-01-03 00:00:00",CABANG-039,11340,10780,160
PROD-0000015,"2008-01-03 00:00:00",CABANG-039,18810,17870,370
PROD-0000016,"2008-01-03 00:00:00",CABANG-039,95420,90000,2150
PROD-0000017,"2008-01-03 00:00:00",CABANG-039,1200,1140,20
PROD-0000018,"2008-01-03 00:00:00",CABANG-039,8890,8440,200
PROD-0000019,"2008-01-03 00:00:00",CABANG-039,5970,5720,140
PROD-0000020,"2008-01-03 00:00:00",CABANG-039,5260,5030,100
PROD-0000021,"2008-01-03 00:00:00",CABANG-039,11970,11360,170
PROD-0000022,"2008-01-03 00:00:00",CABANG-039,70700,66570,780
PROD-0000023,"2008-01-03 00:00:00",CABANG-039,14030,13330,20
PROD-0000024,"2008-01-03 00:00:00",CABANG-039,14970,14210,220
PROD-0000025,"2008-01-03 00:00:00",CABANG-039,9960,9520,30
PROD-0000026,"2008-01-03 00:00:00",CABANG-039,900,850,10
PROD-0000027,"2008-01-03 00:00:00",CABANG-039,12050,11540,140
PROD-0000028,"2008-01-03 00:00:00",CABANG-039,54340,51380,190
PROD-0000029,"2008-01-03 00:00:00",CABANG-039,6040,5740,80
PROD-0000030,"2008-01-03 00:00:00",CABANG-039,4010,3820,80
PROD-0000031,"2008-01-03 00:00:00",CABANG-039,17850,17120,340
PROD-0000032,"2008-01-03 00:00:00",CABANG-039,5050,4790,20
